"resp_nr","voted","fair_election","correct_election","secure_election","econ_own","econ_accountab"
597,"did vote",2,2,1,2,2
598,"did vote",2,1,1,3,3
599,"did vote",4,3,4,1,2
601,"did vote",3,3,4,3,3
602,"did vote",4,3,2,3,2
603,"did vote",4,1,1,2,3
604,"did vote",2,2,1,2,3
605,"did vote",1,2,2,3,3
606,"did vote",1,1,2,1,3
607,"did vote",2,2,1,3,3
608,"did vote",1,1,1,2,3
609,"did vote",1,1,1,3,4
611,"did vote",1,1,1,2,3
612,"did vote",1,1,1,1,2
613,"did vote",2,3,2,2,3
614,"did vote",3,4,2,2,NA
615,"did vote",2,1,2,2,5
616,"did vote",1,1,1,3,4
617,"did vote",1,1,1,2,NA
618,"did vote",2,3,2,3,NA
619,"did vote",1,1,1,2,3
620,"did vote",1,1,1,3,3
621,"did vote",1,1,1,2,5
622,"did vote",2,1,1,2,4
624,"did vote",1,1,1,3,4
626,"did not vote",3,2,3,4,2
627,"did vote",2,1,1,3,3
629,"did vote",1,1,1,2,4
631,"did vote",2,1,1,2,3
632,"did not vote",NA,NA,NA,3,2
633,"did vote",3,2,1,3,3
634,"did vote",2,3,4,4,2
635,"did vote",2,2,3,3,3
636,"did vote",2,2,2,2,5
637,"did not vote",5,4,3,3,1
638,"did not vote",2,2,2,3,2
639,"did vote",1,1,1,4,3
640,"did vote",3,2,1,2,1
641,"did vote",2,2,2,2,3
642,"did vote",2,2,1,3,1
643,"did vote",2,1,1,1,2
644,"did vote",1,1,2,2,4
645,"did vote",3,2,2,3,2
646,NA,4,1,1,2,5
647,"did vote",2,2,1,2,4
648,"did vote",2,1,1,4,5
649,NA,2,1,1,3,3
650,"did vote",1,1,1,2,5
651,"did vote",1,1,1,1,4
652,"did vote",1,2,2,2,2
653,"did vote",1,1,1,2,3
654,"did vote",2,1,2,1,4
655,"did vote",4,1,1,2,2
656,"did vote",2,1,1,1,2
657,"did vote",1,1,1,2,3
658,"did vote",1,2,2,2,3
659,"did vote",1,1,1,2,3
660,"did vote",1,1,1,2,2
661,"did vote",3,3,1,2,3
662,"did not vote",1,1,1,2,2
663,"did vote",1,1,1,1,2
665,"did vote",2,2,1,2,1
666,"did vote",1,1,1,3,3
667,"did vote",2,3,3,2,5
668,"did vote",4,5,3,3,3
669,"did vote",2,1,1,3,4
670,"did not vote",4,5,5,2,5
671,"did vote",1,1,1,2,2
673,"did vote",3,1,1,2,5
674,"did vote",2,1,1,1,5
677,"did vote",1,1,1,4,2
678,"did vote",2,2,1,3,4
679,"did vote",2,3,3,2,1
680,"did vote",3,2,3,4,1
682,"did vote",1,1,1,3,1
683,"did vote",3,2,3,2,3
684,"did vote",1,1,1,3,5
